version,elapsed_time,maze_size,n_particles,generation_seed,solution_seed,maze_image_path
sequential,9053.65,51,10000,3605212584,1289119323,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:26:39_1289119323.txt"
parallel,1814.89,51,10000,3605212584,1289119323,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:26:41_1289119323.txt"
sequential,1352.06,51,10000,1701754947,582765309,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:26:42_582765309.txt"
parallel,363.851,51,10000,1701754947,582765309,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:26:43_582765309.txt"
sequential,10465.7,51,10000,2266811116,1203174407,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:26:53_1203174407.txt"
parallel,1730.64,51,10000,2266811116,1203174407,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:26:55_1203174407.txt"
sequential,468.22,51,10000,3229841414,3165081337,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:26:55_3165081337.txt"
parallel,110.648,51,10000,3229841414,3165081337,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:26:56_3165081337.txt"
sequential,6931.36,51,10000,267482373,1690169612,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:27:03_1690169612.txt"
parallel,1482.36,51,10000,267482373,1690169612,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:27:04_1690169612.txt"
sequential,3385.08,51,10000,154773824,599371042,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:27:07_599371042.txt"
parallel,566.777,51,10000,154773824,599371042,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:27:08_599371042.txt"
sequential,9050.93,51,10000,90626677,3822791920,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:27:17_3822791920.txt"
parallel,2838.28,51,10000,90626677,3822791920,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:27:20_3822791920.txt"
sequential,5830.6,51,10000,3909072856,1203232135,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:27:26_1203232135.txt"
parallel,1333.31,51,10000,3909072856,1203232135,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:27:27_1203232135.txt"
sequential,1374.37,51,10000,3899444706,2065332084,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:27:28_2065332084.txt"
parallel,356.607,51,10000,3899444706,2065332084,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:27:29_2065332084.txt"
sequential,26851.3,101,10000,1440923849,3958298983,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:29:22_3958298983.txt"
parallel,3148.84,101,10000,1440923849,3958298983,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:29:25_3958298983.txt"
sequential,219434,101,10000,2116572070,3444972568,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:33:05_3444972568.txt"
parallel,8406.02,101,10000,2116572070,3444972568,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:33:13_3444972568.txt"
